candidate,county,district,office,party,votes
Richard Duncan,Fairfield,,President,Independent,51
Brian Moore,Fairfield,,President,Socialist,34
Alan Keyes,Fairfield,,President,Independent,1
Joe Schriner,Fairfield,,President,Independent,1
Donald Allen,Fairfield,,President,Independent,0
Jonathan Allen,Fairfield,,President,Independent,0
James Germalic,Fairfield,,President,Independent,0
Platt Robertson,Fairfield,,President,Independent,0
John McCain,Fayette,,President,Republican,7102
Barack Obama,Fayette,,President,Democratic,4401
Ralph Nader,Fayette,,President,Independent,103
Bob Barr,Fayette,,President,Libertarian,44
Cynthia McKinney,Fayette,,President,Green,19
Chuck Baldwin,Fayette,,President,Constitution,13
Richard Duncan,Fayette,,President,Independent,9
Brian Moore,Fayette,,President,Socialist,3
Donald Allen,Fayette,,President,Independent,0
Jonathan Allen,Fayette,,President,Independent,0
James Germalic,Fayette,,President,Independent,0
Alan Keyes,Fayette,,President,Independent,0
Platt Robertson,Fayette,,President,Independent,0
Joe Schriner,Fayette,,President,Independent,0
Barack Obama,Franklin,,President,Democratic,334709
John McCain,Franklin,,President,Republican,218486
Ralph Nader,Franklin,,President,Independent,2993
Bob Barr,Franklin,,President,Libertarian,2128
Chuck Baldwin,Franklin,,President,Constitution,900
Cynthia McKinney,Franklin,,President,Green,689
Richard Duncan,Franklin,,President,Independent,233
Brian Moore,Franklin,,President,Socialist,157
Alan Keyes,Franklin,,President,Independent,22
Joe Schriner,Franklin,,President,Independent,8
Donald Allen,Franklin,,President,Independent,0
Jonathan Allen,Franklin,,President,Independent,0
James Germalic,Franklin,,President,Independent,0
Platt Robertson,Franklin,,President,Independent,0
John McCain,Fulton,,President,Republican,11689
Barack Obama,Fulton,,President,Democratic,9900
Ralph Nader,Fulton,,President,Independent,167
Chuck Baldwin,Fulton,,President,Constitution,73
Bob Barr,Fulton,,President,Libertarian,72
Cynthia McKinney,Fulton,,President,Green,38
Richard Duncan,Fulton,,President,Independent,17
Brian Moore,Fulton,,President,Socialist,15
Alan Keyes,Fulton,,President,Independent,2
Donald Allen,Fulton,,President,Independent,0
Jonathan Allen,Fulton,,President,Independent,0
James Germalic,Fulton,,President,Independent,0
Platt Robertson,Fulton,,President,Independent,0
Joe Schriner,Fulton,,President,Independent,0
John McCain,Gallia,,President,Republican,8247
Barack Obama,Gallia,,President,Democratic,4777
Ralph Nader,Gallia,,President,Independent,132
Bob Barr,Gallia,,President,Libertarian,64
Chuck Baldwin,Gallia,,President,Constitution,37
Cynthia McKinney,Gallia,,President,Green,36
Brian Moore,Gallia,,President,Socialist,13
Richard Duncan,Gallia,,President,Independent,12
Donald Allen,Gallia,,President,Independent,0
Jonathan Allen,Gallia,,President,Independent,0
James Germalic,Gallia,,President,Independent,0
Alan Keyes,Gallia,,President,Independent,0
Platt Robertson,Gallia,,President,Independent,0
Joe Schriner,Gallia,,President,Independent,0
John McCain,Geauga,,President,Republican,29096
Barack Obama,Geauga,,President,Democratic,21250
Ralph Nader,Geauga,,President,Independent,379
Bob Barr,Geauga,,President,Libertarian,180
Chuck Baldwin,Geauga,,President,Constitution,96
Cynthia McKinney,Geauga,,President,Green,59
Richard Duncan,Geauga,,President,Independent,29
Brian Moore,Geauga,,President,Socialist,7
Alan Keyes,Geauga,,President,Independent,3
Joe Schriner,Geauga,,President,Independent,3
Donald Allen,Geauga,,President,Independent,0
Jonathan Allen,Geauga,,President,Independent,0
James Germalic,Geauga,,President,Independent,0
Platt Robertson,Geauga,,President,Independent,0
John McCain,Greene,,President,Republican,48936
Barack Obama,Greene,,President,Democratic,33540
Ralph Nader,Greene,,President,Independent,510
Bob Barr,Greene,,President,Libertarian,288
Chuck Baldwin,Greene,,President,Constitution,141
Cynthia McKinney,Greene,,President,Green,110
Richard Duncan,Greene,,President,Independent,36
Brian Moore,Greene,,President,Socialist,28
Donald Allen,Greene,,President,Independent,0
Jonathan Allen,Greene,,President,Independent,0
James Germalic,Greene,,President,Independent,0
Alan Keyes,Greene,,President,Independent,0
Platt Robertson,Greene,,President,Independent,0
Joe Schriner,Greene,,President,Independent,0
John McCain,Guernsey,,President,Republican,9197
Barack Obama,Guernsey,,President,Democratic,7625
Ralph Nader,Guernsey,,President,Independent,228
Bob Barr,Guernsey,,President,Libertarian,85
Chuck Baldwin,Guernsey,,President,Constitution,79
Cynthia McKinney,Guernsey,,President,Green,48
Richard Duncan,Guernsey,,President,Independent,40
Brian Moore,Guernsey,,President,Socialist,22
Alan Keyes,Guernsey,,President,Independent,1
Donald Allen,Guernsey,,President,Independent,0
Jonathan Allen,Guernsey,,President,Independent,0
James Germalic,Guernsey,,President,Independent,0
Platt Robertson,Guernsey,,President,Independent,0
Joe Schriner,Guernsey,,President,Independent,0
Barack Obama,Hamilton,,President,Democratic,225213
John McCain,Hamilton,,President,Republican,195530
Ralph Nader,Hamilton,,President,Independent,1903
Bob Barr,Hamilton,,President,Libertarian,1267
Chuck Baldwin,Hamilton,,President,Constitution,571
Cynthia McKinney,Hamilton,,President,Green,397
Richard Duncan,Hamilton,,President,Independent,98
Brian Moore,Hamilton,,President,Socialist,78
Alan Keyes,Hamilton,,President,Independent,20
Joe Schriner,Hamilton,,President,Independent,4
Donald Allen,Hamilton,,President,Independent,3
Jonathan Allen,Hamilton,,President,Independent,2
James Germalic,Hamilton,,President,Independent,0
Platt Robertson,Hamilton,,President,Independent,0
John McCain,Hancock,,President,Republican,22420
Barack Obama,Hancock,,President,Democratic,13870
Ralph Nader,Hancock,,President,Independent,309
Bob Barr,Hancock,,President,Libertarian,152
Chuck Baldwin,Hancock,,President,Constitution,120
Cynthia McKinney,Hancock,,President,Green,62
Richard Duncan,Hancock,,President,Independent,27
Brian Moore,Hancock,,President,Socialist,21
Donald Allen,Hancock,,President,Independent,0
Jonathan Allen,Hancock,,President,Independent,0
James Germalic,Hancock,,President,Independent,0
Alan Keyes,Hancock,,President,Independent,0
Platt Robertson,Hancock,,President,Independent,0
Joe Schriner,Hancock,,President,Independent,0
John McCain,Hardin,,President,Republican,7749
Barack Obama,Hardin,,President,Democratic,5013
Ralph Nader,Hardin,,President,Independent,139
Bob Barr,Hardin,,President,Libertarian,76
Chuck Baldwin,Hardin,,President,Constitution,55
Cynthia McKinney,Hardin,,President,Green,51
Brian Moore,Hardin,,President,Socialist,16
Richard Duncan,Hardin,,President,Independent,14
Alan Keyes,Hardin,,President,Independent,1
Donald Allen,Hardin,,President,Independent,0
Jonathan Allen,Hardin,,President,Independent,0
James Germalic,Hardin,,President,Independent,0
Platt Robertson,Hardin,,President,Independent,0
Joe Schriner,Hardin,,President,Independent,0
John McCain,Harrison,,President,Republican,3872
Barack Obama,Harrison,,President,Democratic,3683
Ralph Nader,Harrison,,President,Independent,104
Chuck Baldwin,Harrison,,President,Constitution,38
Bob Barr,Harrison,,President,Libertarian,27
Cynthia McKinney,Harrison,,President,Green,24
Brian Moore,Harrison,,President,Socialist,20
Richard Duncan,Harrison,,President,Independent,19
Donald Allen,Harrison,,President,Independent,0
Jonathan Allen,Harrison,,President,Independent,0
James Germalic,Harrison,,President,Independent,0
Alan Keyes,Harrison,,President,Independent,0
Platt Robertson,Harrison,,President,Independent,0
Joe Schriner,Harrison,,President,Independent,0
John McCain,Henry,,President,Republican,8239
Barack Obama,Henry,,President,Democratic,6320
Ralph Nader,Henry,,President,Independent,115
Bob Barr,Henry,,President,Libertarian,66
Chuck Baldwin,Henry,,President,Constitution,46
Cynthia McKinney,Henry,,President,Green,32
Brian Moore,Henry,,President,Socialist,12
Richard Duncan,Henry,,President,Independent,10
Donald Allen,Henry,,President,Independent,0
Jonathan Allen,Henry,,President,Independent,0
James Germalic,Henry,,President,Independent,0
Alan Keyes,Henry,,President,Independent,0
Platt Robertson,Henry,,President,Independent,0
Joe Schriner,Henry,,President,Independent,0
John McCain,Highland,,President,Republican,11907
Barack Obama,Highland,,President,Democratic,6856
Ralph Nader,Highland,,President,Independent,204
Bob Barr,Highland,,President,Libertarian,76
Chuck Baldwin,Highland,,President,Constitution,58
Cynthia McKinney,Highland,,President,Green,42
Richard Duncan,Highland,,President,Independent,25
Brian Moore,Highland,,President,Socialist,18
Donald Allen,Highland,,President,Independent,0
Jonathan Allen,Highland,,President,Independent,0
James Germalic,Highland,,President,Independent,0
Alan Keyes,Highland,,President,Independent,0
Platt Robertson,Highland,,President,Independent,0
Joe Schriner,Highland,,President,Independent,0
John McCain,Hocking,,President,Republican,6364
Barack Obama,Hocking,,President,Democratic,6259
Ralph Nader,Hocking,,President,Independent,154
Bob Barr,Hocking,,President,Libertarian,58
Chuck Baldwin,Hocking,,President,Constitution,50
Cynthia McKinney,Hocking,,President,Green,38
Brian Moore,Hocking,,President,Socialist,19
Richard Duncan,Hocking,,President,Independent,18
Alan Keyes,Hocking,,President,Independent,1
Donald Allen,Hocking,,President,Independent,0
Jonathan Allen,Hocking,,President,Independent,0
James Germalic,Hocking,,President,Independent,0
Platt Robertson,Hocking,,President,Independent,0
Joe Schriner,Hocking,,President,Independent,0
John McCain,Holmes,,President,Republican,7720
Barack Obama,Holmes,,President,Democratic,3141
Ralph Nader,Holmes,,President,Independent,113
Chuck Baldwin,Holmes,,President,Constitution,52
Bob Barr,Holmes,,President,Libertarian,35
Cynthia McKinney,Holmes,,President,Green,25
Richard Duncan,Holmes,,President,Independent,17
Brian Moore,Holmes,,President,Socialist,9
Alan Keyes,Holmes,,President,Independent,1
Donald Allen,Holmes,,President,Independent,0
Jonathan Allen,Holmes,,President,Independent,0
James Germalic,Holmes,,President,Independent,0
Platt Robertson,Holmes,,President,Independent,0
Joe Schriner,Holmes,,President,Independent,0
John McCain,Huron,,President,Republican,12884
Barack Obama,Huron,,President,Democratic,12076
Ralph Nader,Huron,,President,Independent,212
Bob Barr,Huron,,President,Libertarian,122
Chuck Baldwin,Huron,,President,Constitution,96
Cynthia McKinney,Huron,,President,Green,71
Platt Robertson,Huron,,President,Independent,63
Richard Duncan,Huron,,President,Independent,29
Brian Moore,Huron,,President,Socialist,29
Donald Allen,Huron,,President,Independent,0
Jonathan Allen,Huron,,President,Independent,0
James Germalic,Huron,,President,Independent,0
Alan Keyes,Huron,,President,Independent,0
Joe Schriner,Huron,,President,Independent,0
John McCain,Jackson,,President,Republican,8219
Barack Obama,Jackson,,President,Democratic,5397
Ralph Nader,Jackson,,President,Independent,179
Bob Barr,Jackson,,President,Libertarian,70
Chuck Baldwin,Jackson,,President,Constitution,52
Cynthia McKinney,Jackson,,President,Green,32
Richard Duncan,Jackson,,President,Independent,22
Brian Moore,Jackson,,President,Socialist,22
Donald Allen,Jackson,,President,Independent,0
Jonathan Allen,Jackson,,President,Independent,0
James Germalic,Jackson,,President,Independent,0
Alan Keyes,Jackson,,President,Independent,0
Platt Robertson,Jackson,,President,Independent,0
Joe Schriner,Jackson,,President,Independent,0
Barack Obama,Jefferson,,President,Democratic,17635
John McCain,Jefferson,,President,Republican,17559
Ralph Nader,Jefferson,,President,Independent,395
Bob Barr,Jefferson,,President,Libertarian,138
Chuck Baldwin,Jefferson,,President,Constitution,73
Cynthia McKinney,Jefferson,,President,Green,57
Richard Duncan,Jefferson,,President,Independent,48
Brian Moore,Jefferson,,President,Socialist,32
Joe Schriner,Jefferson,,President,Independent,2
Donald Allen,Jefferson,,President,Independent,0
Jonathan Allen,Jefferson,,President,Independent,0
James Germalic,Jefferson,,President,Independent,0
Alan Keyes,Jefferson,,President,Independent,0
Platt Robertson,Jefferson,,President,Independent,0
John McCain,Knox,,President,Republican,16640
Barack Obama,Knox,,President,Democratic,11014
Ralph Nader,Knox,,President,Independent,233
Chuck Baldwin,Knox,,President,Constitution,139
Bob Barr,Knox,,President,Libertarian,106
Cynthia McKinney,Knox,,President,Green,47
Richard Duncan,Knox,,President,Independent,33
Brian Moore,Knox,,President,Socialist,15
Joe Schriner,Knox,,President,Independent,4
Donald Allen,Knox,,President,Independent,0
Jonathan Allen,Knox,,President,Independent,0
James Germalic,Knox,,President,Independent,0
Alan Keyes,Knox,,President,Independent,0
Platt Robertson,Knox,,President,Independent,0
Barack Obama,Lake,,President,Democratic,60155
John McCain,Lake,,President,Republican,59142
Ralph Nader,Lake,,President,Independent,1086
Bob Barr,Lake,,President,Libertarian,399
Chuck Baldwin,Lake,,President,Constitution,268
Cynthia McKinney,Lake,,President,Green,163
Richard Duncan,Lake,,President,Independent,89
Brian Moore,Lake,,President,Socialist,27
Alan Keyes,Lake,,President,Independent,6
Donald Allen,Lake,,President,Independent,0
Jonathan Allen,Lake,,President,Independent,0
James Germalic,Lake,,President,Independent,0
Platt Robertson,Lake,,President,Independent,0
Joe Schriner,Lake,,President,Independent,0
John McCain,Lawrence,,President,Republican,15415
Barack Obama,Lawrence,,President,Democratic,11262
Ralph Nader,Lawrence,,President,Independent,282
Bob Barr,Lawrence,,President,Libertarian,94
Chuck Baldwin,Lawrence,,President,Constitution,58
Cynthia McKinney,Lawrence,,President,Green,34
Richard Duncan,Lawrence,,President,Independent,30
Brian Moore,Lawrence,,President,Socialist,19
Donald Allen,Lawrence,,President,Independent,0
Jonathan Allen,Lawrence,,President,Independent,0
James Germalic,Lawrence,,President,Independent,0
Alan Keyes,Lawrence,,President,Independent,0
Platt Robertson,Lawrence,,President,Independent,0
Joe Schriner,Lawrence,,President,Independent,0
John McCain,Licking,,President,Republican,46918
Barack Obama,Licking,,President,Democratic,33932
Ralph Nader,Licking,,President,Independent,685
Bob Barr,Licking,,President,Libertarian,345
Chuck Baldwin,Licking,,President,Constitution,235
Cynthia McKinney,Licking,,President,Green,133
Richard Duncan,Licking,,President,Independent,50
Brian Moore,Licking,,President,Socialist,50
Alan Keyes,Licking,,President,Independent,8
Donald Allen,Licking,,President,Independent,0
Jonathan Allen,Licking,,President,Independent,0
James Germalic,Licking,,President,Independent,0
Platt Robertson,Licking,,President,Independent,0
Joe Schriner,Licking,,President,Independent,0
John McCain,Logan,,President,Republican,13848
Barack Obama,Logan,,President,Democratic,7936
Ralph Nader,Logan,,President,Independent,208
Bob Barr,Logan,,President,Libertarian,97
Chuck Baldwin,Logan,,President,Constitution,60
Cynthia McKinney,Logan,,President,Green,49
Richard Duncan,Logan,,President,Independent,13
Brian Moore,Logan,,President,Socialist,6
Donald Allen,Logan,,President,Independent,0
Jonathan Allen,Logan,,President,Independent,0
James Germalic,Logan,,President,Independent,0
Alan Keyes,Logan,,President,Independent,0
Platt Robertson,Logan,,President,Independent,0
Joe Schriner,Logan,,President,Independent,0
Barack Obama,Lorain,,President,Democratic,85276
John McCain,Lorain,,President,Republican,59068
Ralph Nader,Lorain,,President,Independent,1273
Bob Barr,Lorain,,President,Libertarian,456
Chuck Baldwin,Lorain,,President,Constitution,344
Cynthia McKinney,Lorain,,President,Green,221
Richard Duncan,Lorain,,President,Independent,121
Brian Moore,Lorain,,President,Socialist,100
Donald Allen,Lorain,,President,Independent,0
Jonathan Allen,Lorain,,President,Independent,0
James Germalic,Lorain,,President,Independent,0
Alan Keyes,Lorain,,President,Independent,0
Platt Robertson,Lorain,,President,Independent,0
Joe Schriner,Lorain,,President,Independent,0
Barack Obama,Lucas,,President,Democratic,142852
John McCain,Lucas,,President,Republican,73706
Ralph Nader,Lucas,,President,Independent,1488
Bob Barr,Lucas,,President,Libertarian,923
Chuck Baldwin,Lucas,,President,Constitution,399
Cynthia McKinney,Lucas,,President,Green,277
Richard Duncan,Lucas,,President,Independent,96
Brian Moore,Lucas,,President,Socialist,76
Alan Keyes,Lucas,,President,Independent,9
Joe Schriner,Lucas,,President,Independent,4
Donald Allen,Lucas,,President,Independent,1
Jonathan Allen,Lucas,,President,Independent,0
James Germalic,Lucas,,President,Independent,0
Platt Robertson,Lucas,,President,Independent,0
John McCain,Madison,,President,Republican,10606
Barack Obama,Madison,,President,Democratic,6532
Ralph Nader,Madison,,President,Independent,142
Bob Barr,Madison,,President,Libertarian,89
Cynthia McKinney,Madison,,President,Green,31
Chuck Baldwin,Madison,,President,Constitution,29
Richard Duncan,Madison,,President,Independent,14
Brian Moore,Madison,,President,Socialist,11
Donald Allen,Madison,,President,Independent,0
Jonathan Allen,Madison,,President,Independent,0
James Germalic,Madison,,President,Independent,0
Alan Keyes,Madison,,President,Independent,0
Platt Robertson,Madison,,President,Independent,0
Joe Schriner,Madison,,President,Independent,0
Barack Obama,Mahoning,,President,Democratic,79173
John McCain,Mahoning,,President,Republican,45319
Ralph Nader,Mahoning,,President,Independent,1300
Bob Barr,Mahoning,,President,Libertarian,432
Chuck Baldwin,Mahoning,,President,Constitution,282
Cynthia McKinney,Mahoning,,President,Green,276
Donald Allen,Mahoning,,President,Independent,171
Richard Duncan,Mahoning,,President,Independent,160
Brian Moore,Mahoning,,President,Socialist,90
Jonathan Allen,Mahoning,,President,Independent,0
James Germalic,Mahoning,,President,Independent,0
Alan Keyes,Mahoning,,President,Independent,0
Platt Robertson,Mahoning,,President,Independent,0
Joe Schriner,Mahoning,,President,Independent,0
John McCain,Marion,,President,Republican,15454
Barack Obama,Marion,,President,Democratic,12870
Ralph Nader,Marion,,President,Independent,301
Bob Barr,Marion,,President,Libertarian,157
Chuck Baldwin,Marion,,President,Constitution,90
Cynthia McKinney,Marion,,President,Green,76
Richard Duncan,Marion,,President,Independent,38
Brian Moore,Marion,,President,Socialist,31
Donald Allen,Marion,,President,Independent,0
Jonathan Allen,Marion,,President,Independent,0
James Germalic,Marion,,President,Independent,0
Alan Keyes,Marion,,President,Independent,0
Platt Robertson,Marion,,President,Independent,0
Joe Schriner,Marion,,President,Independent,0
John McCain,Medina,,President,Republican,48189
Barack Obama,Medina,,President,Democratic,40924
Ralph Nader,Medina,,President,Independent,638
Bob Barr,Medina,,President,Libertarian,278
Chuck Baldwin,Medina,,President,Constitution,220
Cynthia McKinney,Medina,,President,Green,109
Richard Duncan,Medina,,President,Independent,59
Brian Moore,Medina,,President,Socialist,34
Donald Allen,Medina,,President,Independent,0
Jonathan Allen,Medina,,President,Independent,0
James Germalic,Medina,,President,Independent,0
Alan Keyes,Medina,,President,Independent,0
Platt Robertson,Medina,,President,Independent,0
Joe Schriner,Medina,,President,Independent,0
John McCain,Meigs,,President,Republican,6015
Barack Obama,Meigs,,President,Democratic,4094
Ralph Nader,Meigs,,President,Independent,111
Bob Barr,Meigs,,President,Libertarian,50
Chuck Baldwin,Meigs,,President,Constitution,34
Cynthia McKinney,Meigs,,President,Green,28
Richard Duncan,Meigs,,President,Independent,12
Brian Moore,Meigs,,President,Socialist,10
Donald Allen,Meigs,,President,Independent,0
Jonathan Allen,Meigs,,President,Independent,0
James Germalic,Meigs,,President,Independent,0
Alan Keyes,Meigs,,President,Independent,0
Platt Robertson,Meigs,,President,Independent,0
Joe Schriner,Meigs,,President,Independent,0
John McCain,Mercer,,President,Republican,15100
Barack Obama,Mercer,,President,Democratic,5853
Ralph Nader,Mercer,,President,Independent,127
Bob Barr,Mercer,,President,Libertarian,70
Chuck Baldwin,Mercer,,President,Constitution,58
Cynthia McKinney,Mercer,,President,Green,28
Richard Duncan,Mercer,,President,Independent,24
Brian Moore,Mercer,,President,Socialist,10
Alan Keyes,Mercer,,President,Independent,1
Donald Allen,Mercer,,President,Independent,0
Jonathan Allen,Mercer,,President,Independent,0
James Germalic,Mercer,,President,Independent,0
Platt Robertson,Mercer,,President,Independent,0
Joe Schriner,Mercer,,President,Independent,0
John McCain,Miami,,President,Republican,33417
Barack Obama,Miami,,President,Democratic,18372
Ralph Nader,Miami,,President,Independent,426
Bob Barr,Miami,,President,Libertarian,221
Cynthia McKinney,Miami,,President,Green,135
Chuck Baldwin,Miami,,President,Constitution,127
Brian Moore,Miami,,President,Socialist,54
Richard Duncan,Miami,,President,Independent,52
Alan Keyes,Miami,,President,Independent,3
Donald Allen,Miami,,President,Independent,0
Jonathan Allen,Miami,,President,Independent,0
James Germalic,Miami,,President,Independent,0
Platt Robertson,Miami,,President,Independent,0
Joe Schriner,Miami,,President,Independent,0
Barack Obama,Monroe,,President,Democratic,3705
John McCain,Monroe,,President,Republican,3066
Ralph Nader,Monroe,,President,Independent,116
Cynthia McKinney,Monroe,,President,Green,25
Bob Barr,Monroe,,President,Libertarian,24
Chuck Baldwin,Monroe,,President,Constitution,22
Richard Duncan,Monroe,,President,Independent,15
Brian Moore,Monroe,,President,Socialist,9
Donald Allen,Monroe,,President,Independent,0
Jonathan Allen,Monroe,,President,Independent,0
James Germalic,Monroe,,President,Independent,0
Alan Keyes,Monroe,,President,Independent,0
Platt Robertson,Monroe,,President,Independent,0
Joe Schriner,Monroe,,President,Independent,0
Barack Obama,Montgomery,,President,Democratic,145997
John McCain,Montgomery,,President,Republican,128679
Ralph Nader,Montgomery,,President,Independent,1734
Bob Barr,Montgomery,,President,Libertarian,971
Chuck Baldwin,Montgomery,,President,Constitution,477
Cynthia McKinney,Montgomery,,President,Green,368
Richard Duncan,Montgomery,,President,Independent,143
Brian Moore,Montgomery,,President,Socialist,140
Alan Keyes,Montgomery,,President,Independent,1
Joe Schriner,Montgomery,,President,Independent,1
Donald Allen,Montgomery,,President,Independent,0
Jonathan Allen,Montgomery,,President,Independent,0
James Germalic,Montgomery,,President,Independent,0
Platt Robertson,Montgomery,,President,Independent,0
John McCain,Morgan,,President,Republican,3440
Barack Obama,Morgan,,President,Democratic,2966
Ralph Nader,Morgan,,President,Independent,106
Bob Barr,Morgan,,President,Libertarian,34
Chuck Baldwin,Morgan,,President,Constitution,27
Richard Duncan,Morgan,,President,Independent,15
Cynthia McKinney,Morgan,,President,Green,12
Brian Moore,Morgan,,President,Socialist,8
Donald Allen,Morgan,,President,Independent,0
Jonathan Allen,Morgan,,President,Independent,0
James Germalic,Morgan,,President,Independent,0
Alan Keyes,Morgan,,President,Independent,0
Platt Robertson,Morgan,,President,Independent,0
Joe Schriner,Morgan,,President,Independent,0
John McCain,Morrow,,President,Republican,10067
Barack Obama,Morrow,,President,Democratic,6177
Ralph Nader,Morrow,,President,Independent,179
Bob Barr,Morrow,,President,Libertarian,79
Chuck Baldwin,Morrow,,President,Constitution,66
Cynthia McKinney,Morrow,,President,Green,42
Richard Duncan,Morrow,,President,Independent,17
Brian Moore,Morrow,,President,Socialist,16
Donald Allen,Morrow,,President,Independent,0
Jonathan Allen,Morrow,,President,Independent,0
James Germalic,Morrow,,President,Independent,0
Alan Keyes,Morrow,,President,Independent,0
Platt Robertson,Morrow,,President,Independent,0
Joe Schriner,Morrow,,President,Independent,0
John McCain,Muskingum,,President,Republican,20549
Barack Obama,Muskingum,,President,Democratic,17730
Ralph Nader,Muskingum,,President,Independent,364
Bob Barr,Muskingum,,President,Libertarian,138
Chuck Baldwin,Muskingum,,President,Constitution,112
Cynthia McKinney,Muskingum,,President,Green,89
Richard Duncan,Muskingum,,President,Independent,44
Brian Moore,Muskingum,,President,Socialist,44
Alan Keyes,Muskingum,,President,Independent,1
Donald Allen,Muskingum,,President,Independent,0
Jonathan Allen,Muskingum,,President,Independent,0
James Germalic,Muskingum,,President,Independent,0
Platt Robertson,Muskingum,,President,Independent,0
Joe Schriner,Muskingum,,President,Independent,0
John McCain,Noble,,President,Republican,3450
Barack Obama,Noble,,President,Democratic,2474
Ralph Nader,Noble,,President,Independent,141
Bob Barr,Noble,,President,Libertarian,31
Cynthia McKinney,Noble,,President,Green,28
Chuck Baldwin,Noble,,President,Constitution,19
Brian Moore,Noble,,President,Socialist,15
Richard Duncan,Noble,,President,Independent,14
Donald Allen,Noble,,President,Independent,0
Jonathan Allen,Noble,,President,Independent,0
James Germalic,Noble,,President,Independent,0
Alan Keyes,Noble,,President,Independent,0
Platt Robertson,Noble,,President,Independent,0
Joe Schriner,Noble,,President,Independent,0
Barack Obama,Ottawa,,President,Democratic,12064
John McCain,Ottawa,,President,Republican,10624
Ralph Nader,Ottawa,,President,Independent,194
Bob Barr,Ottawa,,President,Libertarian,99
Chuck Baldwin,Ottawa,,President,Constitution,57
Cynthia McKinney,Ottawa,,President,Green,28
Richard Duncan,Ottawa,,President,Independent,14
Brian Moore,Ottawa,,President,Socialist,9
Joe Schriner,Ottawa,,President,Independent,1
Donald Allen,Ottawa,,President,Independent,0
Jonathan Allen,Ottawa,,President,Independent,0
James Germalic,Ottawa,,President,Independent,0
Alan Keyes,Ottawa,,President,Independent,0
Platt Robertson,Ottawa,,President,Independent,0
John McCain,Paulding,,President,Republican,5317
Barack Obama,Paulding,,President,Democratic,4165
Ralph Nader,Paulding,,President,Independent,127
Chuck Baldwin,Paulding,,President,Constitution,60
Bob Barr,Paulding,,President,Libertarian,50
Cynthia McKinney,Paulding,,President,Green,25
Brian Moore,Paulding,,President,Socialist,13
Richard Duncan,Paulding,,President,Independent,12
Donald Allen,Paulding,,President,Independent,0
Jonathan Allen,Paulding,,President,Independent,0
James Germalic,Paulding,,President,Independent,0
Alan Keyes,Paulding,,President,Independent,0
Platt Robertson,Paulding,,President,Independent,0
Joe Schriner,Paulding,,President,Independent,0
John McCain,Perry,,President,Republican,7721
Barack Obama,Perry,,President,Democratic,7261
Ralph Nader,Perry,,President,Independent,206
Chuck Baldwin,Perry,,President,Constitution,63
Bob Barr,Perry,,President,Libertarian,58
Cynthia McKinney,Perry,,President,Green,40
Brian Moore,Perry,,President,Socialist,29
Richard Duncan,Perry,,President,Independent,26
Donald Allen,Perry,,President,Independent,0
Jonathan Allen,Perry,,President,Independent,0
James Germalic,Perry,,President,Independent,0
Alan Keyes,Perry,,President,Independent,0
Platt Robertson,Perry,,President,Independent,0
Joe Schriner,Perry,,President,Independent,0
John McCain,Pickaway,,President,Republican,14228
Barack Obama,Pickaway,,President,Democratic,9077
Ralph Nader,Pickaway,,President,Independent,210
Bob Barr,Pickaway,,President,Libertarian,84
Chuck Baldwin,Pickaway,,President,Constitution,51
Cynthia McKinney,Pickaway,,President,Green,38
Richard Duncan,Pickaway,,President,Independent,21
Brian Moore,Pickaway,,President,Socialist,17
Donald Allen,Pickaway,,President,Independent,0
Jonathan Allen,Pickaway,,President,Independent,0
James Germalic,Pickaway,,President,Independent,0
Alan Keyes,Pickaway,,President,Independent,0
Platt Robertson,Pickaway,,President,Independent,0
Joe Schriner,Pickaway,,President,Independent,0
John McCain,Pike,,President,Republican,6162
Barack Obama,Pike,,President,Democratic,6033
Ralph Nader,Pike,,President,Independent,143
Bob Barr,Pike,,President,Libertarian,52
Chuck Baldwin,Pike,,President,Constitution,41
Cynthia McKinney,Pike,,President,Green,30
Richard Duncan,Pike,,President,Independent,27
Brian Moore,Pike,,President,Socialist,18
Donald Allen,Pike,,President,Independent,0
Jonathan Allen,Pike,,President,Independent,0
James Germalic,Pike,,President,Independent,0
Alan Keyes,Pike,,President,Independent,0
Platt Robertson,Pike,,President,Independent,0
Joe Schriner,Pike,,President,Independent,0
Barack Obama,Portage,,President,Democratic,41856
John McCain,Portage,,President,Republican,34822
Ralph Nader,Portage,,President,Independent,664
Bob Barr,Portage,,President,Libertarian,289
Chuck Baldwin,Portage,,President,Constitution,226
Cynthia McKinney,Portage,,President,Green,155
Richard Duncan,Portage,,President,Independent,108
Brian Moore,Portage,,President,Socialist,82
Alan Keyes,Portage,,President,Independent,3
Donald Allen,Portage,,President,Independent,1
Jonathan Allen,Portage,,President,Independent,0
James Germalic,Portage,,President,Independent,0
Platt Robertson,Portage,,President,Independent,0
Joe Schriner,Portage,,President,Independent,0
John McCain,Preble,,President,Republican,13562
Barack Obama,Preble,,President,Democratic,6999
Ralph Nader,Preble,,President,Independent,227
Bob Barr,Preble,,President,Libertarian,105
Chuck Baldwin,Preble,,President,Constitution,43
Cynthia McKinney,Preble,,President,Green,40
Richard Duncan,Preble,,President,Independent,18
Brian Moore,Preble,,President,Socialist,8
Donald Allen,Preble,,President,Independent,0
Jonathan Allen,Preble,,President,Independent,0
James Germalic,Preble,,President,Independent,0
